' Request_From_IP ' ::1, ' Request_User ' -, ' Request_Date_Time ' 10-02-2020 15:52:55:534, ' Request_Type ' POST, ' Request_URL ' /Employee/registerEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 95, ' Response_Time ' 10.964 ms,
' Request_From_IP ' ::1, ' Request_User ' -, ' Request_Date_Time ' 10-02-2020 15:53:11:399, ' Request_Type ' POST, ' Request_URL ' /Employee/registerEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 66, ' Response_Time ' 99.568 ms,
' Request_From_IP ' ::1, ' Request_User ' -, ' Request_Date_Time ' 10-02-2020 16:02:46:810, ' Request_Type ' POST, ' Request_URL ' /Employee/registerEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 66, ' Response_Time ' 74.590 ms,
' Request_From_IP ' ::1, ' Request_User ' -, ' Request_Date_Time ' 10-02-2020 16:04:40:243, ' Request_Type ' POST, ' Request_URL ' /Employee/getEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 348, ' Response_Time ' 1.837 ms,
' Request_From_IP ' ::1, ' Request_User ' -, ' Request_Date_Time ' 10-02-2020 16:06:07:781, ' Request_Type ' POST, ' Request_URL ' /Employee/updateEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 368, ' Response_Time ' 162.064 ms,
' Request_From_IP ' ::1, ' Request_User ' -, ' Request_Date_Time ' 10-02-2020 16:07:21:776, ' Request_Type ' POST, ' Request_URL ' /Employee/deleteEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 67, ' Response_Time ' 55.132 ms,
' Request_From_IP ' ::1, ' Request_User ' -, ' Request_Date_Time ' 10-02-2020 16:08:35:563, ' Request_Type ' POST, ' Request_URL ' /Employee/countEmployee, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 60, ' Response_Time ' 1.469 ms,
' Request_From_IP ' ::1, ' Request_User ' -, ' Request_Date_Time ' 10-02-2020 16:09:27:83, ' Request_Type ' POST, ' Request_URL ' /Employee/employeeByPg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 643, ' Response_Time ' 1.490 ms,
' Request_From_IP ' ::1, ' Request_User ' -, ' Request_Date_Time ' 10-02-2020 16:10:40:289, ' Request_Type ' POST, ' Request_URL ' /Employee/searchEmployeeData, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 362, ' Response_Time ' 1.362 ms,
' Request_From_IP ' ::1, ' Request_User ' -, ' Request_Date_Time ' 10-02-2020 16:11:39:565, ' Request_Type ' POST, ' Request_URL ' /Employee/uploadEmployeeIcon, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 83, ' Response_Time ' 2.651 ms,
' Request_From_IP ' ::1, ' Request_User ' -, ' Request_Date_Time ' 10-02-2020 16:12:45:783, ' Request_Type ' POST, ' Request_URL ' /Employee/removeEmployeeIcon, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 84, ' Response_Time ' 0.586 ms,
